marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,Cozunurluk,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
lenovo,Free Dos,Intel Celeron,4.0,1366 x 768,0.0,4.0,0.0,60.0,Dahili Ekran Kartı,15.6,6.799
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,22.9733
lenovo,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD Radeon Graphics,15.6,13.099
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,24.75
acer,Linux,Intel Celeron,2.0,1920 x 1080,128.0,4.0,0.0,60.0,Intel UHD Graphics,15.6,6.29
acer,Free Dos,AMD Ryzen 3,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,8.999
lenovo,Free Dos,AMD Athlon,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,8.199
msi,Windows,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,31.6799
huawei,Windows,Intel Core i5,11.0,1920 x 1080,256.0,8.0,256.0,60.0,Intel Iris Graphics,15.6,14.38
casper,Windows,Intel Celeron,13.0,1366 x 768,120.0,4.0,0.0,60.0,Intel UHD Graphics 600,15.6,6.939
hp,Free Dos,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,12.899
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,165.0,Nvidia GeForce RTX 3050,15.6,26.5311
acer,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,10.799
lenovo,Free Dos,AMD Ryzen 3,7.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Vega 3,15.6,9.994
lenovo,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,10.499
acer,Windows,AMD Ryzen 5,7.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,12.6421
asus,Windows,Intel Core i3,13.0,1920 x 1080,256.0,4.0,256.0,60.0,Intel UHD Graphics,15.6,9.249
huawei,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,20.899
msi,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,21.995
acer,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,12.2751
acer,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,15.6,22.908
huawei,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel Iris Graphics,14.0,15.42
lenovo,Free Dos,Intel Core i3,13.0,1920 x 1080,256.0,8.0,256.0,60.0,Dahili Ekran Kartı,15.6,9.496
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,27.6192
apple,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,28.599
lenovo,Windows,Intel Celeron,13.0,1366 x 768,0.0,4.0,128.0,60.0,Intel UHD Graphics 600,15.6,6.8801
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,23.499
asus,Free Dos,Intel Core i5,10.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce GTX 1650,15.6,24.7346
hp,Free Dos,AMD Ryzen 5,6.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050 Ti,16.1,25.6263
msi,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,21.999
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,0.0,60.0,M1 7 Çekirdekli,15.6,10.45
acer,Windows,AMD Ryzen 5,7.0,1920 x 1080,256.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,12.7656
apple,Mac Os,Apple M2,1.0,2560 x 1600,256.0,8.0,250.0,120.0,M2 8 Çekirdekli,13.6,35.999
asus,Windows,Intel Celeron,9.0,1920 x 1080,128.0,4.0,0.0,60.0,Intel UHD Graphics,14.0,6.839
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,31.499
msi,Windows,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,34.6346
casper,Free Dos,Intel Core i5,12.0,1920 x 1080,1.0,32.0,0.0,60.0,Dahili Ekran Kartı,15.6,16.799
acer,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,25.999
lenovo,Free Dos,AMD Ryzen 3,7.0,1920 x 1080,256.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,9.1999
asus,Windows,Intel Core i5,10.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,29.1996
hp,Free Dos,Intel Core i5,13.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4060,16.1,33.359
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,14.599
monster,Free Dos,Intel Core i7,13.0,1920 x 1080,500.0,16.0,256.0,60.0,Nvidia GeForce RTX 3050 Ti,17.3,27.899
msi,Windows,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,36.0206
monster,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,34.799
hp,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,16.0,0.0,144.0,AMD Radeon RX6500M,15.6,22.299
asus,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,30.999
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,120.0,Nvidia GeForce GTX1650 Ti,15.6,25.1442
lenovo,Windows,Intel Celeron,10.0,1920 x 1080,128.0,4.0,0.0,60.0,Dahili Ekran Kartı,15.6,6.692
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,18.672
hp,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4070,16.1,43.388
acer,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel XE Graphics,15.6,14.2069
huawei,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,26.749
monster,Windows,Intel Core i9,13.0,2560 x 1600,4.0,64.0,0.0,240.0,Nvidia GeForce RTX 4090,17.0,134.999
hp,Free Dos,AMD Ryzen 5,7.0,1920 x 1080,512.0,16.0,0.0,60.0,Dahili Ekran Kartı,15.6,12.69
asus,Windows,Intel Core i5,10.0,1920 x 1080,512.0,32.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,27.3086
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,256.0,8.0,0.0,60.0,Intel Iris Graphics,15.6,11.685
lenovo,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,60.0,Intel UHD Graphics,15.6,13.999
apple,Mac Os,Apple M2,1.0,2560 x 1600,256.0,8.0,250.0,120.0,M2 8 Çekirdekli,13.6,35.999
lenovo,Windows,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,120.0,Nvidia GeForce GTX 1650,15.6,25.4758
lenovo,Free Dos,AMD Ryzen 5,5.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,15.6,11.199
lenovo,Windows,Intel Core i5,12.0,1920 x 1080,1.0,16.0,1.0,60.0,Intel UHD Graphics,15.6,17.992
hp,Free Dos,Intel Core i5,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,26.999
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,29.6846
hometech,Mac Os,Apple M1,13.0,2560 x 1600,128.0,16.0,0.0,60.0,M1 7 Çekirdekli,14.1,5.999
acer,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce GTX 1650,15.6,21.499
msi,Free Dos,Intel Core i7,12.0,1920 x 1080,512.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,30.749
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,29.5992
monster,Free Dos,Intel Core i7,11.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX3060,15.6,29.999
asus,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,35.399
msi,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,27.299
lenovo,Free Dos,AMD Ryzen 7,5.0,1920 x 1080,512.0,8.0,0.0,60.0,AMD Radeon Graphics,15.6,13.4983
hometech,Free Dos,Intel Celeron,4.0,1366 x 768,256.0,8.0,0.0,60.0,Intel UHD Graphics 600,14.1,6.599
huawei,Windows,Intel Core i5,12.0,1920 x 1200,512.0,16.0,0.0,60.0,Intel Iris Graphics,14.0,19.299
dell,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,16.0,0.0,165.0,Nvidia GeForce RTX 4060,15.6,40.899
hp,Windows,Intel Core i5,11.0,1920 x 1080,1.0,16.0,0.0,60.0,Intel Iris Graphics,15.6,16.6838
acer,Free Dos,Intel Core i3,3.0,1920 x 1080,256.0,8.0,256.0,60.0,Dahili Ekran Kartı,15.6,9.329
asus,Windows,Intel Core i9,13.0,3200 x 2000,1.0,32.0,0.0,120.0,Nvidia GeForce RTX 4070,16.0,186.0
acer,Free Dos,Intel Core i7,12.0,1920 x 1080,1.0,32.0,0.0,165.0,Nvidia GeForce RTX 4060,15.6,38.999
asus,Windows,Intel Core i5,10.0,1920 x 1080,512.0,16.0,0.0,60.0,Nvidia GeForce GTX 1650,15.6,26.6238
lenovo,Free Dos,AMD Ryzen 5,13.0,1920 x 1080,512.0,16.0,0.0,60.0,AMD,14.0,15.199
asus,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,22.999
acer,Windows,Intel Celeron,12.0,1366 x 768,64.0,8.0,0.0,90.0,Intel UHD Graphics,11.6,8.598
asus,Windows,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,26.7146
lenovo,Mac Os,Apple M1,13.0,2560 x 1600,256.0,16.0,256.0,60.0,M1 7 Çekirdekli,13.0,13.497
acer,Windows,Intel Core i5,13.0,1920 x 1080,512.0,8.0,512.0,60.0,Dahili Ekran Kartı,15.6,15.999
hp,Free Dos,Intel Core i7,13.0,1920 x 1080,1.0,16.0,0.0,144.0,Nvidia GeForce RTX 4050,16.1,34.269
msi,Windows,Intel Core i5,12.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 4050,15.6,34.8471
monster,Free Dos,Intel Core i5,13.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050,17.3,32.3033
hp,Free Dos,Intel Core i3,13.0,1920 x 1080,512.0,8.0,0.0,60.0,Dahili Ekran Kartı,14.0,10.889
asus,Free Dos,Intel Core i5,11.0,1920 x 1080,512.0,8.0,0.0,144.0,Nvidia GeForce RTX 2050,15.6,24.75
asus,Windows,Intel Core i5,11.0,1920 x 1080,1.0,32.0,0.0,144.0,Nvidia GeForce RTX 3050,15.6,30.6746
