Ekran_Boyutu,Ekran_Karti,Ekran_Yenileme_Hizi,Hard_Disk_Kapasitesi,Ram,SSD_Kapasitesi,Cozunurluk,Islemci_Nesli,Islemci_Tipi,Isletim_Sistemi,url,price,marka
15.6,Dahili Ekran Kartı,60.0,0.0,4.0,0.0,1366 x 768,4.0,Intel Celeron,Free Dos,https://www.trendyol.com//lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295,6.799,lenovo
13.0,M1 7 Çekirdekli,60.0,256.0,16.0,256.0,2560 x 1600,13.0,Apple M1,Mac Os,https://www.trendyol.com//monster/abra-a5-v16-8-intel-core-i7-11800h-16-gb-ram-500-gb-ssd-4-gb-gtx-1650-freedos-15-6-fhd-144-hz-p-748917445,22.9733,monster
15.6,AMD Radeon Graphics,60.0,0.0,16.0,512.0,1920 x 1080,5.0,AMD Ryzen 7,Free Dos,https://www.trendyol.com//lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765,13.099,lenovo
15.6,Nvidia GeForce RTX 2050,144.0,0.0,8.0,512.0,1920 x 1080,11.0,Intel Core i5,Free Dos,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028-i5-11400h-8gb-ram-512gb-ssd-4gb-rtx2050-15-6-inc-fhd-144hz-p-661881677?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xNjQwNDU5OTg2MDY4MzA4MywiYWRTY29yZSI6MC4wNTg5NDU3NDE1MDQ0MzA3NywiYWRTY29yZXMiOnsiMSI6MC4wNTg5NDU3NDE1MDQ0MzA3NywiMiI6MC4wNTg5NDU3NDE1MDQ0MzA3N30sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi41NDIyNDg1MTU1NDc0OTg4LCJhZHZlcnRTbG90IjoxLCJvcmRlciI6MywiYXR0cmlidXRlcyI6IiJ9,24.75,asus
15.6,Intel UHD Graphics,60.0,0.0,4.0,128.0,1920 x 1080,2.0,Intel Celeron,Linux,https://www.trendyol.com//acer/aspire3-intel-celeron-n4500-4gb-128gb-ssd-dos-15-6-gumus-dizustu-bilgisayar-acer-turkiye-garantili-p-656066934,6.29,acer
15.6,AMD Radeon Graphics,60.0,0.0,8.0,256.0,1920 x 1080,7.0,AMD Ryzen 3,Free Dos,https://www.trendyol.com//acer/aspire-3-amd-ryzen-3-7320u-8gb-256gb-ssd-dos-15-6-fhd-dizustu-bilgisayar-acer-turkiye-garantili-p-755183026,8.999,acer
15.6,AMD Radeon Graphics,60.0,0.0,8.0,256.0,1920 x 1080,7.0,AMD Athlon,Free Dos,https://www.trendyol.com//lenovo/v15-82yu00metx-7120u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-744832721,8.199,lenovo
15.6,Nvidia GeForce RTX 3050,144.0,0.0,16.0,512.0,1920 x 1080,12.0,Intel Core i7,Windows,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-10-home-15-6-fhd-144hz-p-764509828?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xNDg2NzU4MjE2MDk3OTUxLCJhZFNjb3JlIjowLjA1MzQyMjg2MDgwMTIxOTk0LCJhZFNjb3JlcyI6eyIxIjowLjA1MzQyMjg2MDgwMTIxOTk0LCIyIjowLjA1MzQyMjg2MDgwMTIxOTk0fSwiY3BjIjoyLjc4MywibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjMzNTUxODA5NTA3NzI1NjcsImFkdmVydFNsb3QiOjIsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,31.6799,msi
15.6,Intel Iris Graphics,60.0,256.0,8.0,256.0,1920 x 1080,11.0,Intel Core i5,Windows,https://www.trendyol.com//huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-256gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654278277,14.38,huawei
15.6,Intel UHD Graphics 600,60.0,0.0,4.0,120.0,1366 x 768,13.0,Intel Celeron,Windows,https://www.trendyol.com//casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688,6.939,casper
