ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,BaÄŸlantÄ±lar (Ä°kincil),Bağlantılar,Bağlantılar (İkincil),Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,,,,4 GB,DDR4,Gri,SSD Yok,,,,Belirtilmemiş,,,,,,,,,1366 x 768,HD Ready (HD),,N4120,4. Nesil,Intel Celeron,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad1-intel-celeron-n4120-4gb-128gb-emmc-dos-15-6-cloud-grey-laptop-lenovo-turkiye-garantili-p-652489295,6.799 TL
,16 GB,,,HDMI,,,Belirtilmemiş,Yok,13 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Apple Türkiye Garantili,,,256 GB,,Q Türkçe,,Ev - Okul,,,,,,Yok,,,,16 GB,Belirtilmemiş,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,2560 x 1600,Retina,,Belirtilmemiş,Belirtilmemiş,Apple M1,8,Mac Os,,https://www.trendyol.com//monster/abra-a5-v16-8-intel-core-i7-11800h-16-gb-ram-500-gb-ssd-4-gb-gtx-1650-freedos-15-6-fhd-144-hz-p-748917445,"22.973,03 TL"
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ev - Okul,,4.3,,,,Yok,TN,,,16 GB,DDR4,Gri,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//lenovo/ideapad-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-82r4006ftra38-p-752653765,13.099 TL
,16 GB,,,Bluetooth - HDMI,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,Yok,IPS,,,8 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-hn028-i5-11400h-8gb-ram-512gb-ssd-4gb-rtx2050-15-6-inc-fhd-144hz-p-661881677?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xNjQwNDU5OTg2MDY4MzA4MywiYWRTY29yZSI6MC4wNTg5NDU3NDE1MDQ0MzA3NywiYWRTY29yZXMiOnsiMSI6MC4wNTg5NDU3NDE1MDQ0MzA3NywiMiI6MC4wNTg5NDU3NDE1MDQ0MzA3N30sImNwYyI6Mi43ODMsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi41NDIyNDg1MTU1NDc0OTg4LCJhZHZlcnRTbG90IjoxLCJvcmRlciI6MywiYXR0cmlidXRlcyI6IiJ9,24.750 TL
,16 GB,,,HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,DDR4,Paylaşımlı,Harici,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q İngilizce,,Ev - Okul,,,,,,Yok,IPS,,,4 GB,DDR4,Gümüş,128 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,N4000,2. Nesil,Intel Celeron,2,Linux,,https://www.trendyol.com//acer/aspire3-intel-celeron-n4500-4gb-128gb-ssd-dos-15-6-gumus-dizustu-bilgisayar-acer-turkiye-garantili-p-656066934,6.290 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,,,,8 GB,LPDDR5,Gri,256 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,7320U,7. Nesil,AMD Ryzen 3,4,Free Dos,,https://www.trendyol.com//acer/aspire-3-amd-ryzen-3-7320u-8gb-256gb-ssd-dos-15-6-fhd-dizustu-bilgisayar-acer-turkiye-garantili-p-755183026,8.999 TL
,16 GB,,,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD Radeon Graphics,SD,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Ofis - İş,,3.5,,,,Yok,TN,,,8 GB,LPDDR5,Gri,256 GB,,,,2.4,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,7. Nesil,AMD Athlon,2,Free Dos,,https://www.trendyol.com//lenovo/v15-82yu00metx-7120u-8gb-256ssd-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-744832721,8.199 TL
,16 GB,,,HDMI - USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,Yok,TN,,,16 GB,DDR4,Siyah,512 GB,,,,Belirtilmemiş,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-10-home-15-6-fhd-144hz-p-764509828?advertItems=eyJhZHZlcnRJZCI6IjQzNGYzNzM2LTVjOWEtNDBmNS1iNDNlLThmZjU3NGQxMjdlZSIsInNvcnRpbmdTY29yZSI6MC4xNDg2NzU4MjE2MDk3OTUxLCJhZFNjb3JlIjowLjA1MzQyMjg2MDgwMTIxOTk0LCJhZFNjb3JlcyI6eyIxIjowLjA1MzQyMjg2MDgwMTIxOTk0LCIyIjowLjA1MzQyMjg2MDgwMTIxOTk0fSwiY3BjIjoyLjc4MywibWluQ3BjIjowLjAxLCJlQ3BjIjoyLjMzNTUxODA5NTA3NzI1NjcsImFkdmVydFNsb3QiOjIsIm9yZGVyIjo3LCJhdHRyaWJ1dGVzIjoiIn0=,"31.679,99 TL"
,16 GB,,,USB,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,,Ofis - İş,,4.5,,,,Yok,,,,8 GB,LPDDR4X,Gümüş,256 GB,,,,2.5,,,,,,,,,1920 x 1080,Full HD (FHD),,1155G7,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//huawei/matebook-d15-i5-1155g7-islemci-8gb-ram-256gb-ssd-15-6-inc-win-11-laptop-mistik-gumus-p-654278277,14.380 TL
,16 GB,,,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Belirtilmemiş,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,2.8,,,,Yok,TN,,,4 GB,LPDDR4,Gri,120 GB,,,,1.1,,,,,,,,,1366 x 768,HD Ready (HD),,N4020,Belirtilmemiş,Intel Celeron,2,Windows,,https://www.trendyol.com//casper/nirvana-c370-4020-4c00b-intel-celeron-n4020-4gb-ram-120gb-ssd-windows-11-home-15-6-hd-p-358003688,6.939 TL
