marka,Isletim_Sistemi,Islemci_Tipi,Islemci_Nesli,SSD_Kapasitesi,Ram,Hard_Disk_Kapasitesi,Ekran_Yenileme_Hizi,Ekran_Karti,Ekran_Boyutu,Fiyat
16,1,17,4.0,0.0,4.0,0.0,60.0,14,15.6,6.799
18,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,22.9733
16,1,8,5.0,512.0,16.0,0.0,60.0,3,15.6,13.099
2,1,20,11.0,512.0,8.0,0.0,144.0,44,15.6,24.75
0,2,17,2.0,128.0,4.0,0.0,60.0,24,15.6,6.29
0,1,6,7.0,256.0,8.0,0.0,60.0,3,15.6,8.999
16,1,4,7.0,256.0,8.0,0.0,60.0,3,15.6,8.199
19,5,21,12.0,512.0,16.0,0.0,144.0,45,15.6,31.6799
13,5,20,11.0,256.0,8.0,256.0,60.0,21,15.6,14.38
3,5,17,13.0,120.0,4.0,0.0,60.0,25,15.6,6.939
11,1,20,11.0,1.0,16.0,0.0,60.0,14,15.6,12.899
16,5,20,11.0,512.0,16.0,0.0,165.0,45,15.6,26.5311
0,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,10.799
16,1,6,7.0,512.0,8.0,0.0,60.0,11,15.6,9.994
16,1,7,7.0,512.0,8.0,0.0,60.0,14,15.6,10.499
0,5,7,7.0,512.0,8.0,0.0,60.0,3,15.6,12.6421
2,5,19,13.0,256.0,4.0,256.0,60.0,24,15.6,9.249
13,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,20.899
19,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,21.995
0,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,12.2751
0,1,20,12.0,512.0,8.0,0.0,144.0,46,15.6,22.908
13,5,20,11.0,512.0,8.0,0.0,60.0,21,14.0,15.42
16,1,19,13.0,256.0,8.0,256.0,60.0,14,15.6,9.496
2,1,20,11.0,1.0,16.0,0.0,144.0,45,15.6,27.6192
1,3,10,13.0,256.0,16.0,256.0,60.0,28,13.0,28.599
16,5,17,13.0,0.0,4.0,128.0,60.0,25,15.6,6.8801
0,1,20,11.0,1.0,16.0,0.0,144.0,45,15.6,23.499
2,1,20,10.0,512.0,16.0,0.0,60.0,36,15.6,24.7346
11,1,7,6.0,512.0,16.0,0.0,144.0,46,16.1,25.6263
19,1,20,11.0,512.0,8.0,0.0,144.0,44,15.6,21.999
